公司名称,职位名称,职位标签,部门,公司简介,公司行业,公司性质,融资阶段,公司规模,公司主页,工作地点,薪资,职位诱惑,工作性质,经验,学历,职位简介,发布日期,来源网站
公安部交通管理科学研究所,数据分析,NULL,NULL,NULL,交通/运输,事业单位,NULL,301－500人,NULL,无锡 滨湖,8000-16000,"['年终奖', '差旅补贴', '住房补贴', '带薪年假', '员工培训', '优秀人才多']",全职,经验1年,硕士,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '负责道路交通事故数据及交通安全相关数据统计分析工作', '任职要求：', '1、硕士研究生及以上学历；', '2、统计、数学、计算机等相关专业；', '3、熟练应用Excel软件，熟悉SPSS、SAS等统计分析工具软件，熟悉Oracle数据库和SQL语言编程；', '4、对数据与事故分析业务方面有足够敏感性，有较强的逻辑分析能力，有较强的独立思考能力和沟通能力；', '5、具有事故数据分析工作经验和海外留学经历的优先。', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
贵州三方社会稳定风险评估咨询中心,数据分析员,NULL,NULL,NULL,其他行业,民营/私企,NULL,301－500人,NULL,贵阳 南明区,3000-5000,"['年终奖', '绩效奖金', '带薪年假', '交通补贴', '餐饮补贴', '定期体检', '帅哥美女多', '地处繁华商圈', '领导易相处']",全职,经验1年,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '岗位职责（包括但不限于以下几项）：', '1、负责日常数据平台的监控、管理、基础数据的统计和处理，报表的维护；', '2、能够独立完成各项数据统计分析；', '4、配合开展与项目运营相关的工作事项；', '5、开发并持续完善各项业务数据的统计模型；', '6、完成上级交办的其他各项事务。', '任职要求：', '1、学历专业要求：大学本科及以上学历，统计学、数学、计算机科学与技术、社会学、计量心理学等相关专业及有相关工作经验者优先；', '2、对数据敏感，具备良好的数据分析能力，逻辑推理能力和预测能力，注重细节、严谨；', '3、熟悉统计分析、数据挖掘，熟悉SPSS、SAS、EXCEL等统计分析软件；', '查看更多']",error,中华英才网
,,,,,,,,,,,,,,,,,,
宁波中哲文墨电子商务有限公司,数据分析专员,NULL,NULL,NULL,移动互联网,其他,NULL,101－300人,NULL,宁波,5月6日,"['节日福利', '带薪年假', '五险一金', '免费班车', '节日福利', '交通补贴', '餐饮补贴', '节日福利']",全职,,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 3、需对公司各推广渠道的效果进行数据支撑，包括建议和评估工作，确保推广效果', ' 4、负责各类数据及报表的备份，做好归档、保管工作，做好信息数据保密工作', ' 任职资格：', ' 1、大专及以上学历，统计学、数学等相关专业者优先', ' 2、具有很强的逻辑和数据分析能力，有数据分析经验者优先', ' 3、熟练使用办公软件（OFFICE/EXCEL/PPT /PDF）,擅长PPT及Photoshop等设计软件', ' 4、良好的沟通能力和团队协作精神', ' 5、热爱并有志于从事数据挖掘和分析工作', '查看更多']",2017/2/23,中华英才网
,,,,,,,,,,,,,,,,,,
福州市必达网络科技有限公司,数据分析师,NULL,NULL,NULL,数据服务,民营/私企,NULL,21－50人,NULL,福州 晋安区,面议,"['年终奖', '绩效奖金', '项目奖金', '工作内容有趣', '五险一金', '晋升空间大', '领导易相处']",全职,经验1年,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '1、与IT部门，管理部门，数据科学家(Data Scientist)合作，决定整个公司的团队目标', '2、从primary research和secondary research中收集提取数据', '3、清理和选取数据，去除无关信息', '4、熟悉使用统计软件和其他技术分析和解读数据', '5、总结数据里的趋势或相关性', '6、为过程改进发现潜在机会并提出可行建议', '7、提供准确的数据分析和可视化报告', '8、创建并管理维持数据库', '9、修改代码相关的问题', '任职资质：', '1、具备统计学基本知识，了解machine learning；', '2、精通数据分析软件和各种数据库系统；', 'A）查询语言(Querying Language)：SQL; Hive; Pig', 'B）脚本编程语言(Scripting Language)：Python; Matlab', 'C）统计语言(Statistical Language)：R; SAS; SPSS', 'D）数据表(Spreadsheet)：Excel', '3、明确问题关键，能将复杂的问题去掉细枝末节，抓住重点；', '4、良好的沟通能力和对商业需求的充分理解能力；', '5、了解用户，将专业术语转化为商业语言，掌握data visualization相关技能；', '查看更多']",2017/3/20,中华英才网
,,,,,,,,,,,,,,,,,,
山西易购服饰有限公司,数据分析,NULL,NULL,NULL,消费品家具/家居,其他,NULL,101－300人,NULL,太原,2001-4000,"['绩效奖金', '年终奖', '节日福利', '话费补贴', '带薪年假']",全职,经验1年,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 1.负责日/周/月/季/年度报表制作与分流', '2.负责公司日常销售数据分析为决策提供数据支持 ', ' ', ' 任职要求：', ' 对数据敏感，', '能独立完成数据分析并提出解决方案，', '有服装数据分析经验者优先。 ', ' ', '查看更多']",2017/2/7,中华英才网
,,,,,,,,,,,,,,,,,,
郑州海宏环保科技有限公司,空气质量数据分析师,NULL,NULL,NULL,政府/非赢利机构/其他环保,其他,NULL,101－300人,NULL,保定,4001-6000,"['五险一金', '话费补贴', '节日福利', '员工旅游', '带薪年假']",全职,经验1年,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 1、分析整理现有数据库，关注企业运营平台数据变化；', ' 2、根据项目需求,提供本业务模型所需要的数据支撑工作；', ' 3、负责企业项目相关报告材料的基础编写工作；', ' 4、上级交代的其他一些临时性工作。', ' 任职要求：', ' 1、男女不限、本科及以上学历，统计学、信息管理与信息系统、数学与计算数学、大气物理、环境工程、化学工程等相关专业优先考虑；', ' 2、具有一定的数据分析能力，有企业数据分析、数据可视化经验者优先，优秀应届毕业生也可；', ' 3、熟悉基本办公软件（word、ppt、excel）；', ' 4、做事认真，责任心强，具有一定的学习能力。', '本岗位工作地点在河北定兴县，投递简历请看清工作地址', '查看更多']",2017/2/23,中华英才网
,,,,,,,,,,,,,,,,,,
北京风行盛世文化传播有限公司,运营专员（数据分析）,NULL,NULL,NULL,IT/互联网移动互联网,其他,NULL,101－300人,NULL,南昌,2001-4000,"['五险一金', '话费补贴', '带薪年假', '弹性工作', '定期体检']",全职,经验1年,其他,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 1. 准确接收任务相关信息，核对、校准任务地址；', ' 2. 拆分任务并与数据部门沟通、确认发布拆分内容；', ' 3. 向客服部传达任务信息，确保任务发布的准确性；', ' 4. 每日跟进任务完成进度，督促客服部跟进任务执行进度；', ' 5. 统计并解读接收到的数据与图片信息，完成解析报告并提交至数据部门；', ' 6. 领导交代的其他工作。', ' 任职要求：', ' 1. 专科以上学历，有一定的逻辑思维，热爱互联网工作；', ' 2. 熟练使用EXCEL、PPT等OFFICE办公软件；', ' 3. 对数字敏感，责任心强，细心耐心，对数据分析有浓厚的兴趣；', ' 4. 普通话标准，口齿清晰，沟通、执行能力强，工作积极主动，有一定的抗压能力；', ' 5. 本岗位欢迎优秀应届毕业生前来应聘（学习能力强者可放宽学历要求）。', ' ', '查看更多']",2017/2/23,中华英才网
,,,,,,,,,,,,,,,,,,
厦门阿唯得企业管理有限公司,数据分析,NULL,NULL,NULL,政府/非赢利机构/其他其他行业,其他,NULL,101－300人,NULL,厦门,2001-4000,['带薪年假'],全职,经验1年,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '1. 专科或以上学历；', '2. 统计学、数学或计算机等相关专业优先，有参加过数学建模比赛者优先；', '3.对数据敏感，热爱数据分析工作，了解数据统计和分析的基本理论，能熟练使用WORD、EXCEL和PPT； ', '4. 具备良好的逻辑思维能力、学习创新能力，有较强的沟通能力、优秀的团队合作精神，能承受工作压力', ' 工作职责：', '1.收集服装行业外部数据，进行数学建模和数据分析，根据需求提供常规性监控和数据分析报告（周报和月报等）；', '2. 运用数据分析和挖掘技术，发现有价值的信息，帮助运营部门改进，更好的满足顾客需求。', '3、按时收集并提取周、月、季度、年度数据，并提供数据分析依据； ', '4、完善分析报表体系的建立，并推动落地执行。 ', '5、负责各部门的数据统筹与分析，并依据部门规划完成相关报告资料。 ', '6、完成公司交办的其它工作。', ' ', '查看更多']",2017/2/23,中华英才网
,,,,,,,,,,,,,,,,,,
蓝豹股份有限公司,数据分析-管理培训生,NULL,NULL,NULL,政府/非赢利机构/其他其他行业,其他,NULL,101－300人,NULL,常州,3月3日,"['带薪年假', '五险一金', '免费班车', '节日福利', '餐饮补贴']",全职,,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '查看更多']",2017/2/23,中华英才网
,,,,,,,,,,,,,,,,,,
珠海智邦信息技术有限公司,大数据分析/需求分析工程师 (职位编号：07),NULL,NULL,NULL,政府/非赢利机构/其他其他行业,其他,NULL,101－300人,NULL,珠海,8000-12000,"['五险一金', '员工旅游', '交通补贴', '绩效奖金', '年终奖', '定期体检']",全职,,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '查看更多']",2017/2/23,中华英才网
,,,,,,,,,,,,,,,,,,
山东海文信息技术有限公司烟台分公司,互联网大数据分析师,NULL,NULL,NULL,计算机软件,合资,NULL,500人以上,NULL,烟台 芝罘区,4000-6000,"['话费补贴', '绩效奖金', '年终奖', '五险一金', '带薪年假', '员工旅游', '节日福利']",全职,经验应届生,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '1、 会利用通用的大数据分析工具采集、分析、总结互联网相关数据；', '2 、监控整理日常数据，为项目提供专业的数据分析报告；', '3、 具有一定的网络基础知识。', ' 任职要求：', '1、 大专及以上学历，数学，统计，计算机专业优先，可接受应届毕业实习生；', '2、 熟练使用office相关软件，尤其是PPT和word；', '3 、有在大型互联网公司工作经验者优先考虑；', '4、网站发展中涉及到的视频处理和片头动画。', ' 薪资待遇：', '1、在成熟的运营管理机制下，为在职员工提供入职前带薪岗前培训；', '2、试用期：3个月，优秀者可提前转正；', '3、正式入职可享有月薪不低于4000-6000元/月收入，三年内平均年薪十万以上；', '4、公司工作环境优雅、氛围好，同事关系融洽，生日派对、聚餐等活动丰富；', '5、公司注重员工培养，给予晋升机会，管理层主要在员工中培养、提拔。', ' 工作时间：早8：30-17：:30 ，双休，提供住宿，法定假日按国家规定执行！', '4、年龄要求18-28周岁，不符勿扰。', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
云南六心经贸有限公司,数据分析,NULL,NULL,NULL,政府/非赢利机构/其他其他行业,其他,NULL,101－300人,NULL,昆明,3000-4499,['员工培训'],全职,,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '查看更多']",2017/2/8,中华英才网
,,,,,,,,,,,,,,,,,,
海南海航航空销售有限公司,数据分析师,NULL,NULL,NULL,IT/互联网移动互联网,其他,NULL,101－300人,NULL,海口,4001-6000,"['五险一金', '带薪年假', '定期体检', '节日福利']",全职,经验1年,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 1、完成ＩＴ系统关键数据的收集与挖掘，建立公司IT的统计报表体系，为领导决策做好支撑工作；', ' 2、监控公司IT 系统运营指标，就发现的问题提交可能性报告和可行性建议；', ' 3、控制公司数据采集和数据转换过程中的风险，持续改进数据内容，提升数据品质;', ' 4、维护数据采集系统及设备；', ' 5、结合工作中存在的问题向系统开发工程师提出督察报表功能需求并不断完善；', ' 任职要求：', ' 1、学历：本科及以上学历（本科院校为211或985）。', ' 2、专业：统计、数学、计算机类专业。', ' 3、外语水平：大学英语六级（含）以上（或托业、雅思或托福同等水平）。', ' 4、具有1年以上数据需求分析经验。可对各项业务数据的统计分析模型进行简单分析。', ' 5、能独立完成任务数据源管理、数据分析报告编制等工作。', ' 6、掌握办公OA系统，微软OFFICE系统、oracle、spss、SOL sever等系统相关操作，了解结算系统，熟悉数据采集系统。', ' 7、对数据敏感，思维敏捷，逻辑性、工作统筹能力、学习能力强，善于沟通，表达能力强。', '查看更多']",2017/2/4,中华英才网
,,,,,,,,,,,,,,,,,,
博康智能信息技术有限公司,数据分析师-智慧企业项目部！工作地点：廊坊！,NULL,NULL,NULL,IT/互联网运营商/增值服务,其他,NULL,101－300人,NULL,廊坊,10001-15000,"['五险一金', '带薪年假', '定期体检', '员工旅游', '节日福利', '节日福利']",全职,经验5年,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 1、识别分析管理层、业务层的数据需求，并根据需求设计分析模型和报表体系 ;', '2、能够提炼分析经营过程实施监测分析需求 ;', '3、根据数据分析需求，分析信息采集的渠道 ;', '4、评估数据质量管控和数据分析应用现状，定义业务分析体系及监控指标 .', ' 任职要求：', ' 1、计算机、统计、数学、财务等相关专业本科及以上学历,5年以上 工作经验;', ' 2、熟悉企业基本运营模式和关键经营管理流程与制度;', '3、了解公司业务信息系统数据架构 ;', '4、了解数据ETL即加工、整合和分析流程 ;', '5、具有业务单元或专业职能部门分析工作;', ' 6、具备较强的数据解读能力，业务沟通能力 ;', '7、熟悉燃气业务并有统计或管理经验者优先 ;', '8、有行业或企业报表系统开发经验者优先 .', '查看更多']",2016/12/8,中华英才网
,,,,,,,,,,,,,,,,,,
山东极优信息科技有限公司,数据分析工程师,NULL,NULL,NULL,IT/互联网移动互联网,其他,NULL,101－300人,NULL,潍坊,5000-6700,"['住房补贴', '话费补贴', '住房补贴', '定期体检', '员工旅游', '节日福利', '节日福利']",全职,经验1年,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' （1）协助搭建公司数据分析体系，根据实际业务需求，梳理数据分析业务的节点和流程；', ' （2）协助完善BI数据分析模块功能，协调对接各部门，整理对BI数据分析模块的需求，对接BI开发人员进行开发、跟进、测试、验收等；', ' （3）进行公司各平台相关数据的收集、清洗、整理、建模分析，输出分析报告，协助公司高层和运营部门决策；', ' （4）负责相关专业领域的基础信息搜集、整理，定性分析或定量分析，形成专业研究报告；', ' （5）依据管理层或其他部门提出的需求，进行专项分析。（例如：本月销量下滑原因分析等）。', ' 2、岗位要求', ' （1）本科及以上学历，数学、统计学、信息管理、计算机等相关专业，2年及以上数据分析工作经验；', ' （2）熟练掌握统计基础知识，了解数据分析的常用方法；', ' （3）了解Oracle数据库，能熟练使用常用sql语句；', ' （4）熟练使用Excel数据透视图、常用公式等制作报表或SPSS等统计分析软件；', '（5）有电商类平台统计分析工作经验者优先。', '查看更多']",2017/2/20,中华英才网
,,,,,,,,,,,,,,,,,,
三生(中国)健康产业有限公司,销售数据分析,NULL,NULL,NULL,其他行业,民营/私企,NULL,21－50人,NULL,乌鲁木齐 天山区,5000-8000,[],全职,,,"['职位介绍', '性别：不限', '岗位职责:', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
内蒙古宇行信息科技有限公司,遥感数据分析,NULL,NULL,NULL,电子商务,民营/私企,NULL,21－50人,NULL,呼和浩特 新城区,3000-5000,"['交通补贴', '餐饮补贴', '话费补贴', '五险一金', '绩效奖金', '差旅补贴', '节日福利', '领导易相处', '晋升空间大']",全职,经验2年,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '任职要求：本科及以上学历。', '查看更多']",2017/1/21,中华英才网
,,,,,,,,,,,,,,,,,,
徐州奇派网络科技有限公司,数据分析助理,NULL,NULL,NULL,IT/互联网,其他,NULL,101－300人,NULL,徐州,2000-3500,"['员工旅游', '员工培训', '绩效奖金', '弹性工作', '定期体检']",全职,,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '查看更多']",2017/2/16,中华英才网
,,,,,,,,,,,,,,,,,,
兰州亿盛体育用品有限公司,销售数据分析,NULL,NULL,NULL,政府/非赢利机构/其他,民营/私企,NULL,101－300人,NULL,兰州 城关区,3000-5000,"['住房补贴', '话费补贴']",全职,,,"['职位介绍', '性别：不限', '岗位职责:', '查看更多']",2017/2/13,中华英才网
