公司名称,职位名称,职位标签,部门,公司简介,公司行业,公司性质,融资阶段,公司规模,公司主页,工作地点,薪资,职位诱惑,工作性质,经验,学历,职位简介,发布日期,来源网站
北京精真估信息技术有限公司,汽车数据分析专家（车型参配）,NULL,NULL,NULL,IT/互联网移动互联网,其他,NULL,101－300人,NULL,北京,15001-20000,['五险一金'],全职,经验5年,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 1、建立数据产品和标准的设计、应用及信息反馈的体系和沟通渠道；', ' 2、监督执行数据检测产品设计、应用、改进和信息反馈的过程，对产品应用效果负责；', ' 3、收集可被应用的社会信息，并完成数据采集与采购工作；', ' 4、服务客户，建立良好的客户服务沟通渠道和方法，及时处理客户投诉；', ' 5、配合客户拓展工作，在客户方案设计、落地执行和实施过程等各阶段给予技术支持；', ' 6、组织讲师做系统使用培训，随新数据产品上线及时更新学员培训内容；', ' 7、建设和更新维护车型库及相关数据产品；', ' 8、保证数据的准确性、及时性与延展性；', ' 9、保持数据更新的可持续性、可执行性和应用的便利性，对数据的准确性负责；', ' 10、与各部门配合密切配合，根据用户信息反馈，及时更新并修正产品信息，已保证数据的准确性，必要时向上级反馈；', ' 11、负责团队建设，完成本部门的人员招聘、绩效考核及相关工作；', ' 12、上级交代的其他工作。', '查看更多']",2017/2/25,中华英才网
,,,,,,,,,,,,,,,,,,
天津鑫聚贤商贸有限公司,数据分析,NULL,NULL,NULL,移动互联网,民营/私企,NULL,21－50人,NULL,天津 河东区,3000-5000,"['绩效奖金', '五险一金', '工作内容有趣', '节日福利', '弹性工作', '领导易相处']",全职,经验应届生,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '岗位职责：', '1、大专及以上学历，计算机及相关专业优先；', '2、热爱互联网行业，善于学习和总结分析；', '3、做事认真、细心、负责，能够专心学习技术；', '4、有良好的工作态度和团队合作精神；', '5、优秀的应往届毕业生可适当放宽条件；', '任职要求：', '1. 大专及以上学历，2016届应届生、2017届在读学生，计算机等专业优先，有相关基础的其他专业亦可', '，逻辑思维能力强的学生亦可', '2. 沟通能力佳，有团队意识。', '3.热爱互联网运营推广行业，认可鑫聚贤的公司文化', '4.善于学习和总结分析，有良好的工作态度和团队合作精神；', '工作时间：', '早9:00-晚5:30 双休 法定假日休息，带薪年假', '入职后：公司组织完善培训计划，新员工有老员工带领，并且公司提供全方位的办公环境和设施设备，', '能力居上者有广阔的晋升位置--项目经理。', '欢迎广大应届毕业生、有识之士加盟共同实现梦想，创造集团天津公司美好明天', '公司地址：河东区琛赢大厦2门1202（新开路远洋未来广场对面）', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
苏州复承嘉华网络科技有限公司,数据分析,NULL,NULL,NULL,分类信息,民营/私企,NULL,20人以下,NULL,苏州 工业园区,6000-12000,"['绩效奖金', '五险一金', '交通补贴', '话费补贴', '餐饮补贴', '住房补贴', '员工培训', '节日福利', '办公装备高档']",全职,经验应届生,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '【岗位要求】', '1、对产品参数、营销数据等数据进行数学上的模型分析及改善；', '2、对公司和产品相关的一些数据进行整理及分析；', '3、能够基于数据分析得到有价值的信息，为业务发展提供策略和建议；', '4、定期追踪业绩及其他关键业务指标情况，洞察到业务动作，提供决策基础；', '5、配合公司营运项目需求，及时提交分析报告；', '6、协助各业务部门完成数据整理、分析与利用，及时提供支持方面的工作；', '【任职资格】', '1、一本类211重点本科院校毕业，本科及以上学历，数学统计学等相关专业优先，熟悉Minitab等统计软件佳。', '2、具备卓越的数学分析能力及良好的计算机操作及文件编辑能力，数据敏感度与逻辑分析能力，能进行深度的数据信息汇总分析，提炼出有利于公司营运决策的信息；', '3、熟练操作excel，常规函数、数据透视表、图表制作等，能熟练运用ppt撰写分析报告；', '4、熟练应用SPSS、Eviews软件或其他统计分析软件；', '5、具备数据分析相关工作经验者优先；', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
河南思维自动化设备股份有限公司,数据分析工程师,NULL,NULL,NULL,电子/半导体/集成电路,股份制,NULL,500人以上,NULL,郑州 高新技术开发区,6000-10000,"['五险一金', '绩效奖金', '带薪病假', '员工旅游', '员工培训', '免费班车']",全职,经验3年,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '工作职责：', '1、负责研究先进、经济可行的可靠度评定试验手段、方法；', '2、负责具体项目的可靠度试验设计、试验执行与相关失效分析等；', '3、负责关键产品RAMS相关数据收集系统规划、建设；', '4、负责对产品RAMS数据进行分析、反馈和质量信息预警。', '任职资格：', '1、熟悉产品数据采集、分析处理方法，具备数据分析能力；', '2、熟练使用国际通行的RAMS保证方法，如可靠性预计、FRACAS运用等；', '3、熟悉CENELEC标准，特别是EN50126、50128、50129等RAMS相关标准；', '4、熟悉产品全寿命周期，有对产品进行LCC经验的优先；', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
前海人寿湖北分公司中南营业部,数据分析,NULL,NULL,NULL,保险,上市公司,NULL,500人以上,NULL,武汉 武昌,4000-6000,"['年终奖', '绩效奖金', '五险一金', '带薪年假', '带薪病假', '定期体检', '员工培训', '员工旅游', '节日福利', '地处繁华商圈', '优秀人才多', '晋升空间大', '帅哥美女多', '更多']",全职,经验1年,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '查看更多']",2017/3/14,中华英才网
,,,,,,,,,,,,,,,,,,
