武汉佰钧成技术有限责任公司,数据分析师BI ,"['sas', 'BI', 'spss']",NULL,NULL,IT软件,NULL,不需要融资,1000-9999人,NULL,深圳,16K-32K,NULL,NULL,5-10年,大专,"数据分析师BI1、熟悉互联网并且对于互联网常见的业务形态与商业模式有深入的理解；2、精通Excel和SQL，至少掌握一个SAS,SPSS，R语言等数据分析工具;3、了解常用的数据分析思路与方法，可以独自承担中小型项目的数据分析任务；4、了解数据系统的构建方案，能协助输出数据规范方案;5、了解互联网常见的业务形态的数据分析指标，能针对课题独立可视化构建数据报表模型.",2017-03-20,BOSS直聘
北京中普信富投资管理有限公司,数据分析 ,"['数据分析', '数据处理', '数据挖掘']",NULL,NULL,互联网,NULL,未融资,1000-9999人,NULL,北京,6K-10K,NULL,NULL,经验不限,大专,1、对公司的产品、市场或销售数据进行深入分析和建模；2、完成产品、市场或销售等部门的报表处理和数据提取需求；3、负责业务核心指标的监控和跟踪分析，并对异常波动情况进行深入分析和问题定位；4、参与讨论产品、市场或销售等部门的指标体系和统计需求；5、参与完成面向客户的深度数据分析报告。,2017-03-20,BOSS直聘
上海乾生乾金融信息服务有限公司,数据分析 ,['数据分析'],NULL,NULL,互联网,NULL,B轮,100-499人,NULL,上海,6K-8K,NULL,NULL,1-3年,本科,工作职责：1.建立并完善贷后数据分析体系；2.贷后数据分析，制作各类分析报告；3.催收过程监控，催收绩效核算，案件量预估及人力预测；4.催收系统数据层面功能点需求窗口。任职要求：1.全日制本科及以上学历，数学、统计学专业优先；2.1年以上数据分析相关工作经验，了解贷后管理及催收基本业务流程优先；3.精通excel，熟练使用word、ppt等办公软件；4.良好的沟通表达能力及报告撰写能力，良好的团队协作意识。,2017-03-17,BOSS直聘
中软国际科技服务有限公司,数据分析师 ,"['数据分析', 'hive', 'excel']",NULL,NULL,IT软件,NULL,已上市,10000人以上,NULL,广州,8K-10K,NULL,NULL,1-3年,本科,岗位职责：1、你可以参与网易游戏的日常游戏数据分析，从中发现数据规律2、负责跟进多个游戏的数据表日常数据，分析数据趋势、波动，并形成数据报表发送给相关人员3、根据日常业务的需求，完成相关业务分析，为产品策划、产品经理等提供数据支持4、根据游戏业务的需求，开展相关专题的数据分析与研究，并形成研究分析报告；定期对游戏中各行为数据分析总结，并向产品决策者反馈职位要求：1、计算机、数学、统计、金融等相关专业本科以上学历优先2、熟练掌握excel/sql等数据工具，掌握hive者优先3、喜欢游戏并有游戏（手游）经验者优先,2017-03-14,BOSS直聘
厦门美图网科技有限公司,数据分析师 ,"['MySQL', '数据分析']",NULL,NULL,互联网,NULL,D轮及以上,1000-9999人,NULL,杭州,9K-18K,NULL,NULL,1-3年,本科,岗位职责：1、主导美图定制业务的电商数据分析的数据功能规划；2、通过销售及用户行为数据分析，输出完整的数据报告，；3、推送数据系统化及部门内其他数据分析需求，；4、负责日常运营数据的收集和分析，通过数据反馈发现改进点。任职要求：1.熟练掌握SQL/HQL，有扎实的数据分析能力；2.从事互联网数据分析工作两年以上，电商数据分析一年以上3.对电商平台有一定了解，有数据分析、挖掘、清洗和建模的经验优先；4.良好的团队合作，较强的学习能力，能承担较强的工作压力,2017-03-18,BOSS直聘
酷骑（北京）科技有限公司,数据分析师 ,"['SQL', 'excel', '数据库']",NULL,NULL,互联网,NULL,未融资,100-499人,NULL,天津,3K-6K,NULL,NULL,经验不限,本科,数据库sql的使用经验，能够对数据进行分类汇总及时向各部门提供行业数据会使用excel相关公式,2017-03-18,BOSS直聘
苏州肯思特旅游咨询服务有限公司,数据分析师 ,"['市场调研', '咨询项目管理', '数据分析']",NULL,NULL,咨询/翻译/法律,NULL,0-20人,,NULL,苏州,3K-4K,NULL,NULL,经验不限,本科,对数字敏感，逻辑分析能力较强！,2017-03-18,BOSS直聘
武汉链家宏业房地产经纪有限公司,数据分析师 ,"['MySQL', '数据分析', 'SQLServer']",NULL,NULL,房地产/建筑,NULL,未融资,10000人以上,NULL,武汉,4K-7K,NULL,NULL,1年以内,硕士,"岗位职责：1、建立并规范运营部的各项运营指标数据体系；2、基于数据分析和调研，建立基础数据统计模型，为产品运营提供数据支持；3、及时发现运营数据问题并提出指导和改进方法；4、挖掘市场交易数据，精准分析地区竞品市场情况；岗位要求：1、硕士及以上学历，数学、统计学等相关专业；2、有地产或互联网相关行业工作经验优先，对数据化管理有一定的理解；3、熟悉互联网数据采集，具备较强的大数据数据分析、挖掘经验；4、熟练操作excel，了解统计学原理和常用数据挖掘算法；5、出色的逻辑思维能力、沟通交流能力和团队精神；6、熟悉Mysql，Sqlserver2008,Access等关系型数据库；7、优秀的数据分析能力，定期撰写ppt分析报告。工作时间：周一至周五（9:00-18:00）工作地点：武汉市江汉区淮海路泛海国际SOHO城7栋1206室",2017-03-15,BOSS直聘
厦门美柚信息科技有限公司,数据分析师 ,"['数据分析', '数据挖掘', '数据处理']",NULL,NULL,互联网,NULL,D轮及以上,500-999人,NULL,厦门,8K-16K,NULL,NULL,1-3年,本科,岗位职责：1.跟踪业务部门业务发展，承接接业务部门数据需求；2.监控业务指标体系的变化；3.用数据分析手段进行业务洞察，提供业务改进建议；4.根据业务需要，提供运营日/周/月报分析，并针对特定主题提供专题分析报告；岗位要求：1.本科以上学历；计算机/数学/统计学相关专业；2.一年以上数据分析经验，对用户分析、运营分析有深刻见解；4.主动、积极，善于沟通；学习能力强；5.熟练掌握数据分析工具和技术，比如SQL、SPSS、Excel、SAS等；6.加分项：了解、熟悉网络黑产及反作弊。,2017-02-21,BOSS直聘
湖南景智数据科技有限公司,数据分析师 ,"['数据分析', '数据挖掘', '数据处理']",NULL,NULL,数据服务,NULL,0-20人,,NULL,长沙,8K-16K,NULL,NULL,3-5年,硕士,职位描述:1-构建风险计量模型对业务风险进行定性与定量评估；2-建立针对用户/商户/交易欺诈行为的风险管理策略，构建欺诈行为识别与侦测机制，识别用户单一作案、团伙作案；3-建立针对用户的信用管理体系与策略，构建信用评级模型、用户分类模型、用户画像等；4-建设业务相关的模型数据库表，并能固化到指定的数据库中，提高查询、运算效率；5-将研究成果转化成风控模型/规则并跟进落实，协调产品、研发、运营团队，推动风险模型的实施，最终部署在控制决策系统中；6-参与完成各类分析报告及其他深入分析的工作。任职要求：1-统计、计算机等相关专业，具有扎实的理论基础；2-熟悉SQL、EXCEL（含VBA）；3-熟悉以下数据分析/挖掘常用算法模型中的几种：二元分类、数值预测、回归（一元线性、多元、非线性）、贝叶斯网络、逻辑回归、判别式、两步、序列、时间序列、QUEST、C&R树、CHAID、GRI、Apriori、异常、特征选择、C5.0、神经网络、决策列表、决策树、聚类（K-means、层次式）、Kohonen、主成分/因子分析、SLRM、SVM、GenLin、Cox、Cama、关联分析等；4-熟悉SAS、R/Matlab、SPSS等数据分析工具中的至少一种；5-熟悉C、C++、Java、Python、Scala等语言中的至少一种；加分项：1-有Hadoop、Spark、Storm、Hive、Redis、ETL、HBase、HDFS、Oracle、Linux等实战经验的优先；2-有数理建模竞赛或工作经验的优先；3-有金融行业尤其是风控方面从业经验的优先；4-在相关A类会议（ICML、NIPS、SIGIR、SIGKDD等）以第一作者身份发表过论文的优先。我们希望您具备较强的数据分析能力、逻辑思维能力、对内外组织沟通能力、执行能力和团队精神，讲诚信、愿意分享和承担责任，勇于探索与创新。,2017-02-21,BOSS直聘
四川星盾科技股份有限公司,数据分析师 ,"['数据库', '数据挖掘', '机器学习']",NULL,NULL,IT软件,NULL,未融资,100-499人,NULL,成都,8K-15K,NULL,NULL,1-3年,本科,"职位描述：1.负责数据分析、数据挖掘应用产品开发；2.应用统计建模、数据挖掘、机器学习方法建立数据模型解决实际问题；3.负责行业数据分析项目工作，配合项目经理完成项目需求调研，编制需求说明书和工作方案；4.沟通客户实际分析需求，完成相关数据抽取、数据清洗、数据探索、数据建模分析等工作；5.按要求完成数据分析报告、建模报告、数据报表等；6.参与项目成果汇编，对相关结果进行解读和汇报。任职要求：1.良好的数学基础，扎实数据挖掘功底；2.熟悉SQL，对主流数据库有一定了解；3.熟悉Java/Python/Scala等开源数据挖掘算法封装优先；4.较强的分析问题和解决问题的能力；5.数学、统计学、数据挖掘等相关专业优先；6.对新知识的探索精神，不断研究并分享新的业务、技术知识。本岗位属于星盾科技大数据事业部——公司名称：数字灯塔，事业部正处于初创期，希望您能与公司一同成长。上班地址：菁蓉国际广场C1610工作时间：9：00～18：00，周末双休工资组成：月薪（6K～15K）+年终奖（2个月工资）+项目奖励公司每年有年度提薪一经录用，公司自试用期起购买五险一金+提供有竞争力的薪酬+传统节日福利+员工旅游+年度体检+不定期的聚餐、各项活动+工会人文关怀+广阔的发展空间。带薪年假：工龄6个月以上的正式员工可享受公司每年5天带薪假期（不足1年的按比例计算），根据其在公司工作的年限不同，每满一年增加一天，最多不超过15天。四川数字灯塔科技有限公司成立于2016年10月，公司立足于汽车后市场的大数据服务行业，我们的使命是用数据服务生活，我们目标是3年内成为汽车后市场大数据服务行业的领头羊，公司的企业文化是诚信,积极,共赢,快乐。公司立志为包括我们的股东，员工，顾客，乃至商业合作伙伴在内的所有人提供创造和实现梦想的机会。公司目前有资深的管理团队和技术团队，成熟的客户市场，未来三年内我们的目标是营收过亿，同时初创企业也是每个人充分展现自己最好的舞台，未来的高管，股东也会出现在今天共同浴血奋战的同事中。既然选择了远方，便只顾风雨兼程，困难我们一起扛，赢了我们一起狂不同于其他创业公司，我们有成型和现成的市场，销售渠道，等2018年我们会和我们的每位员工分享我们的硕果！公司目标3年内成为汽车后市场大数据服务领军人。您获得的不仅是一份工作，一起来挑战自己吧！公司网址：http://www.stardon.com.cn",2017-03-15,BOSS直聘
格瑞咨询服务（深圳）有限公司,金融数据分析工程师 ,"['Hadoop', 'R', 'Java']",NULL,NULL,移动互联网,NULL,未融资,20-99人,NULL,深圳,20K-40K,NULL,NULL,5-10年,本科,"职位介绍:1.金融数据分析，模型与方案生成；2.金融数据挖掘,识别金融风险;3.金融数据监测，投资方案监控与预测。任职需求:1.计算机、金融、数学专业硕士及以上学历;2.掌握大数据处理业务流程,熟练掌握各类数据挖掘与算法;3.2年以上数据挖掘领域经验,有过金融领域数据工作经验者优先;4.熟练掌握java/Python/R等编程语言,熟悉Hadoop和Spark系统,熟悉MySQL,Redis数据库操作；5.有良好的沟通能力，目标清晰，逻辑思维能力强；6.有工匠精神，追求作品完美，有意愿为之奋斗。",2017-03-07,BOSS直聘
北京新媒传信科技有限公司,数据分析师 ,"['数据分析', 'R', 'Oracle']",NULL,NULL,移动互联网,NULL,已上市,500-999人,NULL,广州,8K-12K,NULL,NULL,1-3年,本科,"岗位职责：1、对移动商城数据进行搜集、整理、提取、分配、统计、分析、预测、报告、挖掘和建模等；2、对移动商城的流程进行梳理、挖掘，搭建相关业务数据分析体系；3、关注数据分析和调研，根据反馈对现有业务的数据进行持续改善、优化，撰写相关的数据分析报告；4.负责对移动运营数据进行专题分析，开展数据建模，并对模型进行评估、优化、应用5.结合分析结果以及对业务需求的深入理解，为业务部门提供优化方案。任职要求：1.统计学、数学、计算机、应用数学等相关专业；2.了解统计分析、数据分析、数据建模的相关理论和方法，2年以上等经营分析相关工作经验；3.熟练使用oracle数据库系统，具有处理大数据的能力；4,熟练掌握数据分析工具，如excel、R、SPSS；5.拥有2-3个数据建模项目经验优先；6.具备优秀的业务理解能力和沟通能力、逻辑思维强，应变能力快；7.有互联网行业从业经验者优先。",2017-03-02,BOSS直聘
杭州恩牛网络技术有限公司,数据分析师 ,"['SQLServer', 'Tablea']",NULL,NULL,移动互联网,NULL,C轮,500-999人,NULL,杭州,8K-15K,NULL,NULL,1-3年,本科,岗位描述：1.有互联网数据分析经验，能有效地与运营技术部门沟通；2.了解数据库，BI系统知识，对数据和业务有足够的敏感性，能快速定位数据异常原因，指导业务改进。岗位要求：1.专业要求：不限，计算机、统计相关专业优先；2.技能要求：Excel、SQL熟练，有tableau经验优先；3.经验/业务要求：2年以上互联网数据分析经验；4.其他要求：有强烈的责任心，善于跨部门协调沟通，推动数据产品建设；5.工作职责：对目前产品运营业务数据进行分析统计，指导业务发展。,2017-03-10,BOSS直聘
,,[],NULL,NULL,,NULL,,,NULL,,,NULL,NULL,,,,error,BOSS直聘
中软国际科技服务有限公司,数据分析师 ,"['数据分析', '运维', '数据库']",NULL,NULL,IT软件,NULL,已上市,10000人以上,NULL,西安,10K-20K,NULL,NULL,3-5年,本科,"国内实力自研数据库，对标Oracle,提供强竞争力待遇及工作氛围。要求如下:【售前解决方案工程师】1，统招本科5年以上工作经验；2，对数据库有深入掌握，熟悉常用数据库应用场景，具备数据库规划，设计能力；3，了解大数据领域及分布式系统等相关技术及发展趋势；4，熟悉linux系统，至少掌握一种编程语言(Java/Python/shell等)，可编写简单程序；5，思路清晰，具备较强的客户沟通能力，良好的团队意识，较强的组织协调能力和技术方案编写能力，能适应出差。【实施&运维工程师】1，统招本科3年以上工作经验，211或985重点院校；2，有DBA从业经验熟悉掌握常用数据库(oracle,sqlsever)等操作，如安装，调优，应用和数据迁移，Poc测试，巡检等；3，熟悉linux系统，至少掌握一种编程语言(Java/Python/shell等)，可编写简单程序；4，思路清晰，善于协作，沟通，做事踏实认真，能适应出差。【服务PM】1，除具备以上任一工作方向外，还需要良好的沟通协调能力；2，有华为项目工作或管理经验更佳。",2017-01-18,BOSS直聘
苏州晶云药物科技有限公司,药物分析研究员 ,"['制剂研究', '质量研究', '药物分析']",NULL,NULL,健康医疗,NULL,20-99人,,NULL,苏州,4K-8K,NULL,NULL,经验不限,不限,"基本任职资格1.本科及以上学历，学业成绩优秀，大学英语六级2.化学、化工、药学、制药工程、材料等相关专业3.诚实，正直，具有优秀的团队合作精神和领导力4.分析和解决问题的能力强，注意细节，善于沟通5.时间管理和执行能力强，能够同时规划多个项目6.学习力强，(研发岗)科学态度严谨，愿从事研发岗位职责1.负责药物研发过程中的分析支持和方法开发2.设计实验方案，独立完成分析质量研究工作3.能独立解决项目的药物分析难点和相关问题4.撰写分析相关CTD申报资料，配合现场检查5.真实及时并准确地撰写原始实验记录6.熟练使用HPLC,GC,UV、溶出仪等分析仪器7.定期检查维护分析实验设备，确保其良好运行",2017-01-22,BOSS直聘
智业软件股份有限公司,数据分析师 ,['数据分析'],NULL,NULL,健康医疗,NULL,不需要融资,1000-9999人,NULL,厦门,5K-10K,NULL,NULL,1-3年,本科,岗位职责：运用各类数据分析方法和数据挖掘算法，设计医疗数据分析模型，研究并分析海量信息数据中存在的客观现象与知识，辅助医疗决策支持工作。任职要求：1、本科（含）以上学历，数据挖掘、统计学、经济学、社会学、人口学等相关专业；2、熟悉SPSS、Hahood、SAS、MSTR等任一种数据分析软件，了解各类数据分析方法与挖掘算法，熟悉数据分析项目的过程；3、熟悉Oracle、SQLServer、MYsql等任一种数据库语言，能熟练使用office办公软件；4、具备良好的沟通表达、逻辑思维能力，做事严谨细致、认真负责，富于团队合作精神；5、有医疗行业数据分析经验者优先。工作条件及福利待遇：五天制七个半小时、提供住宿、缴交五险一金、协助办理户口落户厦门、重大节日过节费、免费健康体检及生日礼品。,2017-02-11,BOSS直聘
海南九春教育科技股份有限公司,数据分析师 ,"['数据分析', '数据处理', '数据挖掘']",NULL,NULL,互联网,NULL,C轮,100-499人,NULL,长沙,5K-10K,NULL,NULL,3-5年,大专,互联网挖掘数据，分析数据，会使用数据处理工具进行数据转换和科学分析，定期不定期形成数据报表，协助项目经理，产品经理，运营部进行产品方向定位和效果预估。,2017-01-18,BOSS直聘
北京联想利泰软件有限公司,数据挖掘研究员 ,"['数据挖掘', 'Linux']",NULL,NULL,互联网,NULL,未融资,1000-9999人,NULL,成都,10K-20K,NULL,NULL,1-3年,硕士,工作职责：1.从事数据挖掘、机器学习算法研究，对业务提供支持2.构建机器学习平台和系统工具职位要求：1.硕士及以上学历，计算机或相关专业；两年及以上相关领域工作经验2.有良好的文档撰写能力、较强的开发和学习能力、思维敏捷及良好的沟通和组织能力3.有扎实的数学基础，熟悉常用的算法及数据结构，熟悉常用机器学习算法及数据挖掘方法4.能熟练在Linux环境中用Python/Scala/R中的一门或多门编程语言进行开发5.熟悉C语言、SQL语言者优先6.有海量数据处理经验者优先，有Spark、Hive、Hbase、Kafka、Solr/ElasticSearch等开发经验者优先,2017-01-18,BOSS直聘
深圳市优必选科技有限公司,运动控制算法工程师 ,"['视频算法', '机器学习', '图像算法']",NULL,NULL,互联网,NULL,B轮,500-999人,NULL,深圳,20K-35K,NULL,NULL,5-10年,硕士,岗位职责：主要职责：1）运动算法建模、设计与开发工作2）负责机器人运行轨迹规划和优化相关研　　究工作任职资格：任职要求：1）211院校计算机、自动化、控制或者信息技术相关专业本科及以上学历；2）三年以上工作经验，具有运动控制/导航相关的研　发经历，以及运动控制算法设计/建模与控制等方　面的研发经验；3）掌握物体运动建模的基本方法，理解坐标空间变换　原理；4）熟悉ROS机器人操作系统者优先。,2017-12-16,BOSS直聘
北京网智天元科技股份有限公司,MySQL/DBA数据库工程师 ,"['数据处理', '数据库开发', '数据架构']",NULL,NULL,数据服务,NULL,已上市,100-499人,NULL,北京,10K-15K,NULL,NULL,3-5年,本科,"岗位职责：1、设计和优化数据库建设方案,制定合理的数据库架构，并组织实施。2、负责Mysql主从架构、读写分离搭建；3、指导平台系统开发项目团队成员进行系统的设计和开发；4、参与平台系统的数据库编码的核心工作；5、维护平台产品数据库版本，做好版本的标识、维护数据库初始化、版本升级等自动化脚本；6、指导和管理初中级DBA工程师的工作任务，培养其成长；任职要求：1.计算机相关专业专科及以上，有3年以上MySQL管理经验；2.熟悉MySQL数据库体系结构和工作原理；3.熟悉linux操作系统，具有一定的shell脚本编写能力；4.熟悉MySQL备份恢复、性能优化；5.熟悉常用存储引擎的功能和特点以及主从复制原理和实践；6.具备较强的沟通协作能力，有较强的团队合作精神和敬业精神；7.对MySQL技术有强烈兴趣，熟悉MySQL各个分支版本，关注新的技术了解Redis/Memcache/MongoDB等Nosql数据库者优先考虑",2017-03-17,BOSS直聘
智品科技发展（上海）有限公司,数据运营 ,"['运营', '电商运营', '数据分析']",NULL,NULL,电子商务,NULL,未融资,20-99人,NULL,上海,6K-8K,NULL,NULL,1-3年,大专,岗位职责：（底薪6K-8K)+奖金提成1.店内数据采集与分析，并结合数据给出优化方案2.熟悉淘宝天猫的运营和后台；3.熟悉直通车、钻展以及淘客的招募，了解聚划算等大型活动并有实际经验。根据店铺的需要利用论坛及帮派等工具配合店铺的促销活动；4.对促销活动和店铺营销数据、交易数据及商品管理、顾客管理进行数据分析和评估。定期针对推广效果进行跟踪及评估，及时改进营销方案；5.做好竞争对手的数据分析；6.负责天猫店铺的引进、整体运营、管理；7.负责天猫店铺的整体业绩的提升；8.负责天猫店铺的营销推广与发展方向规划；9.拥有主动意识，善于发现问题并解决问题，为店铺发展提出合理改进建议10.完成上级领导交办的任务指示岗位要求：1.专科或以上学历2.2年以上工作经验，有数据分析工作经验优先3.学习能力强、耐心细致，有数据处理能力优先4.具亲和力，有良好的沟通、实施能力及团队合作精神5.责任心强，了解市场运作，喜爱BD业务拓展及团队合作精神6.良好的学习及逻辑分析能力，责任心、善于动脑7.具有一定的抗压能力，吃苦耐劳、工作认真细心、诚实、责任心强、为人正直、工作积极主动,2017-02-04,BOSS直聘
北京活动时文化传媒有限公司,数据分析师 ,"['数据分析', '用户研究', '数据运营']",NULL,NULL,媒体,NULL,A轮,20-99人,NULL,广州,6K-10K,NULL,NULL,1-3年,本科,电商数据分析,2017-03-13,BOSS直聘
